last_name, first_name,player_id,year,player_age,ab,hit,single,double,triple,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,r_stolen_base_pct,xslg,xobp,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,n_bolts,sprint_speed,
Polanco, Gregory,570256,2020,28,157,24,11,6,0,7,65,37.4,7.5,.153,.325,.214,0.539,,.417,.280,92.9,20.8,36.8,12,12.6,73,32.8,34.6,59.2,40.1,87,440,216,,27.4,
Gonzalez, Erik,570481,2020,28,181,41,24,13,1,3,51,26.4,4.1,.227,.359,.255,0.614,,.396,.276,88.5,5.5,33.6,9,6.7,73.7,19.1,35.2,56.1,43.9,54,382,209,,27.3,
Urshela, Gio,570482,2020,28,151,45,28,11,0,6,25,14.4,10.3,.298,.490,.368,0.858,,.491,.385,91.4,12.3,38.5,9,6.9,70.8,13.1,27.7,37,63,59,403,170,,25.0,
Schoop, Jonathan,570731,2020,28,162,45,31,4,2,8,39,22,4.5,.278,.475,.324,0.799,,.389,.294,87.2,8.7,26.4,7,5.6,77.2,17.2,38.2,46.8,53.2,44,356,208,,27.2,
Arenado, Nolan,571448,2020,29,182,46,29,9,0,8,20,10,7.5,.253,.434,.303,0.737,,.392,.289,87.8,19.1,27.1,9,5.4,66.2,9.5,32.4,32.8,67.2,74,399,202,,24.8,
Barnhart, Tucker,571466,2020,29,98,20,12,3,0,5,28,25.5,10.9,.204,.388,.291,0.679,,.408,.311,85.4,19.7,35.7,5,7.1,64.9,18.2,23.6,39.6,58.5,50,251,125,,24.3,
Goodwin, Brian,571718,2020,29,144,31,15,9,1,6,54,32.9,10.4,.215,.417,.299,0.716,,.381,.299,89.9,20.7,41.3,10,10.9,60.1,26.7,19.8,55.2,44.8,112,370,192,,28.1,
Hernandez, Enrique,571771,2020,28,139,32,18,8,1,5,31,20.9,4.1,.230,.410,.270,0.680,,.383,.269,88.5,16.2,26.6,8,7.3,71.4,15.6,30,44.2,55.8,71,309,175,,27.2,
Holt, Brock,571788,2020,32,95,20,14,6,0,0,24,22.6,8.5,.211,.274,.283,0.557,,.291,.297,84,10.5,27.8,1,1.4,60.8,13.5,22.6,36.5,63.5,59,257,136,,25.6,
Muncy, Max,571970,2020,29,203,39,23,4,0,12,60,24.2,15.7,.192,.389,.331,0.720,,.473,.362,88.5,14.2,29,18,12.4,59.6,19,15.9,53.3,46.7,194,540,360,,27.3,
Myers, Wil,571976,2020,29,198,57,26,14,2,15,56,25.7,8.3,.288,.606,.353,0.959,,.589,.351,91,13.4,40.8,21,14.8,62.6,16.7,25.1,46,49.6,123,434,286,1,28.3,
Naquin, Tyler,571980,2020,29,133,29,16,8,1,4,40,28.4,3.5,.218,.383,.248,0.631,,.473,.294,91.7,13,34.7,9,9.5,80.5,25.2,35.7,42.3,57.7,67,330,120,,26.9,
Piscotty, Stephen,572039,2020,29,159,36,25,6,0,5,53,31,5.3,.226,.358,.271,0.629,,.398,.281,88.1,13.5,34.3,7,6.5,76.6,23.6,42.8,49.6,50.4,96,286,201,,26.5,
Pollock, AJ,572041,2020,32,196,54,29,9,0,16,45,21.4,5.7,.276,.566,.314,0.880,,.499,.312,89.6,13,37.9,16,10.5,65.3,14.3,29.9,46.8,53.2,108,380,252,2,28.2,
Seager, Kyle,572122,2020,32,203,49,28,12,0,9,33,13.3,12.9,.241,.433,.355,0.788,,.472,.371,89.1,17.7,30.7,18,10.2,62.5,13.1,20.6,40,60,181,501,274,,25.4,
Voit III, Luke,572228,2020,29,213,59,32,5,0,22,54,23.1,7.3,.277,.610,.338,0.948,,.586,.340,88.9,15.2,37.5,21,13.1,79.2,19.2,27.5,49.6,50.4,127,475,305,,24.9,
Walker, Christian,572233,2020,29,218,59,33,18,1,7,50,20.6,7.8,.271,.459,.333,0.792,,.454,.331,90.4,11.5,34.5,11,6.4,74.3,17.9,29.9,49.3,50.7,115,565,272,,26.9,
Carpenter, Matt,572761,2020,34,140,26,16,6,0,4,48,28.4,13.6,.186,.314,.325,0.639,,.400,.345,88.1,17.1,44.6,9,9.8,61.1,24.9,20.3,55.7,43,134,391,195,,25.6,
Dickerson, Corey,572816,2020,31,194,50,37,5,1,7,35,16.7,7.1,.258,.402,.311,0.713,,.396,.303,85.7,11.1,25.8,9,5.7,73.7,23.3,33.2,30.8,69.2,165,510,183,,27.0,
Ruf, Darin,573131,2020,33,87,24,13,6,0,5,23,23,13,.276,.517,.370,0.887,,.458,.351,89.4,12.5,34.4,6,9.4,58.6,20.3,21.4,46.3,53.7,57,239,119,,25.7,
Yastrzemski, Mike,573262,2020,29,192,57,29,14,4,10,55,24.4,13.3,.297,.568,.400,0.968,,.488,.360,88.2,18.4,35,15,10.9,58.6,18.9,19.7,41.9,58.1,117,583,230,,27.5,
Contreras, Willson,575929,2020,28,189,46,29,10,0,7,57,25.3,8.9,.243,.407,.356,0.763,,.441,.361,89.8,9.1,35.8,14,10.4,67.8,21.3,31.3,55.7,43.6,67,527,259,,27.3,
