name,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_caught_stealing,r_total_stolen_base,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,hp_to_1b,sprint_speed,team_id,team_name,division,league,avg_220,avg_240,avg_260,avg_280,avg_300,hr_10,hr_20,hr_30,hr_40,sb_05,sb_10,sb_15,sb_20
"Jay, Jon",445055,2021,36,14,14,5,5,0,0,0,2,0,14.3,0.0,0.357,0.357,0.357,0.714,1,0,0,83.2,25.0,0.0,,25.9,,,,,True,True,True,True,True,False,False,False,False,False,False,False,False
"Longoria, Evan",446334,2021,35,253,291,66,36,17,0,13,68,35,23.4,12.0,0.261,0.482,0.351,0.833,46,1,1,94.1,34.2,13.4,4.7,26.1,137.0,SF,NLW,NL,True,True,True,False,False,True,False,False,False,False,False,False,False
"Lobaton, Jose",446653,2021,36,11,13,0,0,0,0,0,5,2,38.5,15.4,0.0,0.0,0.154,0.154,0,0,0,90.4,33.3,0.0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Hill, Rich",448179,2021,41,24,26,3,3,0,0,0,10,0,38.5,0.0,0.125,0.125,0.125,0.25,0,0,0,68.3,18.8,0.0,,25.1,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Morton, Charlie",450203,2021,37,55,62,7,6,1,0,0,31,0,50.0,0.0,0.127,0.145,0.127,0.272,1,0,0,80.8,25.8,0.0,,21.4,144.0,ATL,NLE,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Fowler, Dexter",451594,2021,35,20,21,5,5,0,0,0,6,1,28.6,4.8,0.25,0.25,0.286,0.536,1,0,1,86.7,42.9,0.0,,,,,,,True,True,False,False,False,False,False,False,False,False,False,False,False
"Lester, Jon",452657,2021,37,48,51,8,5,2,0,1,24,2,47.1,3.9,0.167,0.271,0.2,0.471,3,0,0,86.0,40.0,8.0,,,138.0,STL,NLC,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
"Cabrera, Asdrubal",452678,2021,35,309,352,71,43,21,0,7,80,36,22.7,10.2,0.23,0.366,0.313,0.679,42,0,1,87.8,30.0,6.0,4.79,24.9,113.0,CIN,NLC,NL,True,False,False,False,False,False,False,False,False,False,False,False,False
"LeBlanc, Wade",453281,2021,36,11,13,0,0,0,0,0,3,0,23.1,0.0,0.0,0.0,0.0,0.0,0,0,0,77.5,0.0,0.0,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False
"Scherzer, Max",453286,2021,36,59,63,0,0,0,0,0,28,0,44.4,0.0,0.0,0.0,0.0,0.0,1,0,0,85.6,22.9,0.0,,21.0,119.0,LAD,NLW,NL,False,False,False,False,False,False,False,False,False,False,False,False,False
