"name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","r_run","xba","xslg","xobp","avg_swing_speed","squared_up_contact","squared_up_swing","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel","barrel_batted_rate","n_outs_above_average","n_bolts","sprint_speed"
"Altuve, Jose","514888","2021","31","601","678","167","103","32","1","31","91","66",".278",".489",".350","0.839","83","117",".262",".421",".339",,,,"87.7","15.6",32.1,"33",6.4,,"40","28.0"
"Hernández, César","514917","2021","31","570","637","132","88","21","2","21","135","59",".232",".386",".308","0.694","62","84",".243",".386",".319",,,,"87.4","10.7",32.6,"30",6.8,,"34","28.7"
"Segura, Jean","516416","2021","31","514","567","149","105","27","3","14","78","39",".290",".436",".348","0.784","58","76",".266",".396",".328",,,,"87.2","5.8",31.1,"26",5.9,,"4","27.3"
"Castro, Starlin","516770","2021","31","315","346","89","66","20","0","3","62","26",".283",".375",".333","0.708","38","25",".272",".412",".328",,,,"88.4","9.2",33.9,"14",5.4,,,"26.2"
"Marte, Starling","516782","2021","32","467","526","145","103","27","3","12","99","43",".310",".458",".383","0.841","55","89",".277",".438",".354",,,,"87.6","4.6",32.6,"31",8.4,"1","22","28.5"
"Bumgarner, Madison","518516","2021","31","39","52","4","3","1","0","0","29","9",".103",".128",".280","0.408","3","3",".096",".147",".275",,,,"87.2","24.7",46.2,"1",7.7,,,"23.3"
"Culberson, Charlie","518586","2021","32","247","271","60","38","15","2","5","64","17",".243",".381",".296","0.677","22","23",".229",".321",".284",,,,"85.4","10.6",35.6,"6",3.2,,,"28.1"
"d'Arnaud, Travis","518595","2021","32","209","229","46","25","14","0","7","53","17",".220",".388",".284","0.672","26","21",".248",".406",".309",,,,"89.9","5.9",33.8,"12",7.6,,,"26.4"
"Donaldson, Josh","518626","2021","35","457","543","113","61","26","0","26","114","74",".247",".475",".352","0.827","72","73",".269",".542",".372",,,,"94.1","14.6",30.2,"61",17.4,,,"24.6"
"Freeman, Freddie","518692","2021","31","600","695","180","122","25","2","31","107","85",".300",".503",".393","0.896","83","120",".320",".583",".410",,,,"91.4","12",37.2,"57",11.5,,,"26.9"
"Grandal, Yasmani","518735","2021","32","279","375","67","35","9","0","23","82","87",".240",".520",".420","0.940","62","60",".258",".506",".438",,,,"93.1","14.2",32.5,"27",13.3,,,"23.6"
"Heyward, Jason","518792","2021","31","323","353","69","44","15","2","8","68","27",".214",".347",".280","0.627","30","35",".234",".367",".299",,,,"88.2","7.5",27.5,"12",4.7,"3",,"26.8"
"Kelly, Merrill","518876","2021","32","47","58","3","2","1","0","0","27","4",".064",".085",".137","0.222","1","1",".067",".075",".140",,,,"76.4","-3.6",11.1,"0",0,,,"23.6"
"Kozma, Pete","518902","2021","33","11","12","1","1","0","0","0","4","1",".091",".091",".167","0.258","0","0",".163",".183",".233",,,,"84","19.7",14.3,"0",0,,,
"LeMahieu, DJ","518934","2021","32","597","679","160","125","24","1","10","94","73",".268",".362",".349","0.711","57","84",".283",".397",".366",,,,"90.6","5",33.3,"19",3.7,,,"26.6"
"Lucroy, Jonathan","518960","2021","35","19","23","6","5","1","0","0","4","3",".316",".368",".409","0.777","3","2",".222",".309",".328",,,,"91.9","21.7",37.5,"0",0,,,"26.0"
"Moore, Matt","519043","2021","32","19","20","0","0","0","0","0","13","0",".000",".000",".000","0.000","0","0",".037",".050",".037",,,,"80","-24.5",14.3,"0",0,,,
"Moreland, Mitch","519048","2021","35","229","252","52","30","11","1","10","58","18",".227",".415",".286","0.701","30","28",".226",".395",".286",,,,"91","12.9",31.6,"16",9.2,,,"24.5"
